track_id	tonic	mode
1004923.LOFI	C	minor
1007941.LOFI	F	minor
10089.LOFI	D	major
1009960.LOFI	D#	minor
101069.LOFI	E	minor
1017921.LOFI	B	major
1026478.LOFI	F	minor
1033148.LOFI	F	minor
1034795.LOFI	B	minor
1037507.LOFI	G	major
1041574.LOFI	G#	major
1043194.LOFI	C#	minor
1052744.LOFI	G	minor
1056896.LOFI	A	minor
1074548.LOFI	A	minor
1075123.LOFI	F	minor
1092676.LOFI	F	minor
1103512.LOFI	A#	minor
1105632.LOFI	C	minor
1140027.LOFI	C#	minor
1149778.LOFI	F#	minor
1161234.LOFI	C	major
1161249.LOFI	G	minor
1164898.LOFI	C	major
1178656.LOFI	C	minor
1193612.LOFI	F#	minor
1194720.LOFI	D	minor
1198688.LOFI	D	minor
1206025.LOFI	A	minor
1209745.LOFI	A#	major
1224698.LOFI	G	major
1234668.LOFI	G	minor
1234669.LOFI	G	minor
1234670.LOFI	F	minor
1234748.LOFI	G	minor
1234749.LOFI	A#	major
1234750.LOFI	D	minor
1234751.LOFI	A#	major
1234752.LOFI	B	minor
1257593.LOFI	B	minor
1298595.LOFI	F	minor
1316308.LOFI	G	major
1353830.LOFI	D	minor
1356281.LOFI	D#	major
1389887.LOFI	G#	minor
1406309.LOFI	B	minor
1415239.LOFI	C	minor
1442809.LOFI	C#	minor
1468437.LOFI	B	minor
1474122.LOFI	G#	major
1486770.LOFI	A	minor
1494159.LOFI	D#	minor
1549964.LOFI	C#	minor
1568217.LOFI	F	major
1574723.LOFI	D	minor
1575015.LOFI	A	minor
1611446.LOFI	G#	minor
1614715.LOFI	F#	minor
1626779.LOFI	A#	minor
1650933.LOFI	D#	minor
1650934.LOFI	F	minor
1652412.LOFI	D	minor
1669939.LOFI	E	major
1673811.LOFI	D	major
1678455.LOFI	F#	minor
1681074.LOFI	F	minor
1681077.LOFI	G#	minor
1681085.LOFI	F	major
1682815.LOFI	C	minor
1690921.LOFI	D	minor
1695408.LOFI	A	minor
1706844.LOFI	D#	major
1725800.LOFI	G	minor
1757071.LOFI	E	minor
1763782.LOFI	F#	minor
1771576.LOFI	C	minor
1771577.LOFI	G	minor
1776378.LOFI	G#	minor
1781139.LOFI	C	minor
1785226.LOFI	F#	minor
1787061.LOFI	F#	minor
1792026.LOFI	D	minor
1792100.LOFI	C	minor
1792506.LOFI	D	minor
1795653.LOFI	D#	minor
1796518.LOFI	C#	minor
1803909.LOFI	B	minor
1808022.LOFI	A#	minor
1809174.LOFI	A	major
1814469.LOFI	F	minor
1822087.LOFI	B	minor
1822502.LOFI	D	minor
1837440.LOFI	B	minor
1850984.LOFI	A	minor
1856889.LOFI	F#	minor
1864037.LOFI	C#	minor
1880732.LOFI	D#	minor
1904501.LOFI	C	minor
190477.LOFI	D	minor
191347.LOFI	D#	minor
1922470.LOFI	D#	minor
1927655.LOFI	G	minor
1939732.LOFI	D#	minor
1944125.LOFI	C	minor
1948785.LOFI	E	minor
1949099.LOFI	E	minor
1950170.LOFI	A#	minor
1960032.LOFI	C	minor
1964905.LOFI	A	minor
1970992.LOFI	G#	minor
1978917.LOFI	D	minor
1981501.LOFI	A	minor
1982269.LOFI	A	minor
1983975.LOFI	F#	minor
1984204.LOFI	F	minor
1986370.LOFI	D#	minor
1990297.LOFI	A	minor
1991458.LOFI	B	minor
2006103.LOFI	C#	minor
2007977.LOFI	C#	minor
2014445.LOFI	D#	minor
2018991.LOFI	C	minor
2024026.LOFI	G	major
2025670.LOFI	C	minor
2026524.LOFI	D#	minor
2029598.LOFI	E	minor
2031094.LOFI	A	minor
2031096.LOFI	A	minor
203493.LOFI	G	minor
2046342.LOFI	E	minor
2047796.LOFI	D	minor
2048054.LOFI	C	minor
2048940.LOFI	G	minor
2049680.LOFI	F	minor
2051166.LOFI	E	minor
2052966.LOFI	A#	minor
2053495.LOFI	B	minor
2054968.LOFI	C	major
205597.LOFI	G	minor
2059625.LOFI	F#	minor
2069519.LOFI	F	minor
2070773.LOFI	A	minor
2075331.LOFI	G	minor
208158.LOFI	E	minor
2081732.LOFI	E	minor
209206.LOFI	G	major
2434664.LOFI	C	major
2435861.LOFI	C	minor
2436276.LOFI	A	minor
2436729.LOFI	C	minor
2438899.LOFI	A#	minor
2440193.LOFI	A	minor
2447748.LOFI	G#	minor
2448121.LOFI	F	minor
2666332.LOFI	A	major
2666528.LOFI	C#	minor
2667501.LOFI	B	minor
2673157.LOFI	B	minor
2673251.LOFI	D#	minor
2673252.LOFI	C	minor
2673254.LOFI	D	minor
2676506.LOFI	C	minor
2680040.LOFI	A	minor
2725284.LOFI	G	minor
2725286.LOFI	G	minor
2725289.LOFI	E	minor
